mapudungun;espanol;ingles;;;
mari mari papay;buenos dias mamita;Good morning mommy;;;
mari mari chaw;buenos dias padre;good morning Dad;;;
chumngechi li tami lof;como esta su comunidad;how is your community;;;
fawpüle chem dungu rume ngelay;por aqui no hay ninguna cosa;There is nothing here;;;
ngelay;no hay;There is not;;;
kom kümeli tami pu ka rukache;todos tus vecinos estan bien;All your neighbors are fine;;;
kom kümeli;todos estan bien;All are fine;;;
kümelingün;estan bien;they are fine;;;
may;si;Yes;;;
ini pingi chi mapu tüva;como se llama este lugar;What's the name of this place;;;
inche mülen lonko waka;yo estoy en lonko vaca;I'm in Lonko Vaca;;;
veypingi;asi se llama;That's what it's called;;;
veypingi tani mapu;asi se llama mi tierra;This is the name of my land;;;
vey chumeluchi veypingi vey;y por que se llama asi;And why is it called that;;;
lonko waka pingeki;cabeza de vaca se llama porque;cow's head is because;;;
rume mülekevuy kullin;habia muchos animales;there were many animals;;;
mülekevuy;habia;there were;;;
veymu vey lonko waka pingi;por eso se llama cabeza de vaca;That's why it's called cow's head;;;
tachi winkul lonko waka pingeki welu;este de arriaba cabeza de vaca pero se le dice;this one of the cow's head but it is told;;;
winkul;arriba;up;;;
winkul lonko waka;arriba cabeza de vaca;Above cow's head;;;
welu inche kimpan;pero yo vine a saber;But I came to know;;;
chew rume mülekevuy kullin;en cualquier parte habia animales;anywhere there were animals;;;
veymu vey lonko waka pingi;por eso se le llama cabeza de vaca;That is why it is called cow's head;;;
ah;ah;ah;;;
veyta  lof  mapu kuyvi ngekelavuy ta;en esta tierra antes no habia;In this land there was no;;;
lawentuchekelu;quien hiciera remedio;who remedy;;;
katripache eymi kimimi;usted sabe;you know;;;
vey ngekelavuy;esto no habia;This was not;;;
kuyfi mew;antiguamente;formerly;;;
posta ngekelavuy mülekevuy;posta no habia yo habia;Posta there was no;;;
kuyvi ta müte ngelay posta;antes no habia muchas postas;Before there were many posts;;;
ngelavuy;no habia;there was not;;;
chumngechi lawentuw;como se hacian remedio;as remedy;;;
kevuychi papay;antes mamita;Before Mamita;;;
chachay rume pichikeche;papito y tambien los ninos chicos;daddy and also children;;;
chumngechi chi mongeluwkevuy;como sera que lo hacian vivir;How would they live it;;;
mapumu ta yemeki lawen ka;en la tierra iban a buscar remedio tambien;On Earth they were going to look for remedy too;;;
mapumu;en la tierra;on earth;;;
winkul mu;en el cerro;on the hill;;;
winkul mew;en el cerro;on the hill;;;
meno komu ka müli lawen;en el menoco tambien hay remedio;In the menoco there is also remedy;;;
vill che lawentuchekevuy;todas la gente se hacia remedio;All people did remedy;;;
kam mülevuy ta lawen tuchelu;o habia gente que hacia remedio;or there were people to remedy;;;
mülekvuy ta machi;habia la machi;There was the Machi;;;
ka müli ta medika;tambien la medica;also the doctor;;;
re medica ka müli pu;solo medica habia tambien pues;only medical there were also;;;
vemngechi lawen tuwkevuyngün;asi hacian remedio;Thus they remedied;;;
vemngechi lawentuwkevuyngün;de esa manera se hacian remedio;In this way they were remedied;;;
vey pichi keche;y los ninos chicos;and children children;;;
akuayem mapumew;que llegan a la tierra;that come to earth;;;
vey kidu engün ten püñeluwkebuyngün;ellos solos no mas tenian hijos;They alone had children;;;
kidu müten llemay;solo no mas pues;Just no more then;;;
kidu;solo;only;;;
kisu;solo;only;;;
mülekvuy ta kimlu  elkelu ta püñeñ;habia quien sabia hacer nacer un hijo;There were those who knew how to be born a child;;;
kim dapial kom;hacerlo todos de eso;do it from that;;;
kom llemay tachi;todo pues esto;All then;;;
chew ta püñeñelngi ta tachi pu malen;donde tiene hijo esta pues hija;Where has a son because daughter;;;
aso felewelay;asi no esta;That's not like that;;;
aso felewelay amukaki;asi no esta se va;This is not going;;;
doy ka tripachemu che;mas tambien donde sale la gente;But where people come out;;;
vewla;ahora;now;;;
aso aso;asi asi;so so;;;
veley veley vey ka;eso eso eso tambien;That's that too;;;
mapumu nentukevuy lawen;en la tierra sacaba remedio;On Earth I took a remedy;;;
vill lawen tripakevuy mapumu;de todo tipo de remedio salia en la tierra;of all kinds of remedy came on earth;;;
vill lawen vill vill;todo tipo de remedio todo tipo todo tipo;All kinds of all kinds;;;
vill lawen vill lawen;todo tipo de remedio todo tipo de remedio;All kinds of remedy all kinds of remedy;;;
tüfa llenoanta otubrey chi chaw;ahora no es que en octubre pues padre;Now it is not that in October because father;;;
otubrey vey tüfa küpali ta lawen;octubre este trae remedio;October this brings remedy;;;
doy pewvaluwi;mas se muestra;But it is shown;;;
meno ko mew vey rayikingün tati;en el menoco ahi florecen pues;In the menoco there they flourish then;;;
kiñeke ta nieki ta kallfü rayen;a veces tiene;Sometimes it has;;;
kiñeke nieki ta lig;a veces tiene blanca;Sometimes it has white;;;
rosaw rayen ngetukeyngün;flores rosadas tenian;Pink flowers had;;;
vünki kütu nuan ta lawen chaw;tenian hasta fruto el remedio que se iba a escoger padre;They had the remedy to choose a father to fruit;;;
vünki ka vey;este tambien daba fruto;This was also fruitful;;;
müna vünki ta lawen;daba mucho fruto el remedio;The remedy was very fruitful;;;
vey otubre tüva chem pingeki;en octubre esto se dice;In October this is said;;;
ta küyen mapuche mew;en el año mapuche;In the Mapuche year;;;
walün nuanchi;en la cosa no es pues;In the thing it is not therefore;;;
walüng pingeke vuy;en la cosecha sedecia;In the sedecia harvest;;;
walüng;en la cosecha;In the harvest;;;
walüng pingi ta;en la cosecha se dice esto;In the harvest this is said;;;
ta walüng;en la cosecha;In the harvest;;;
welu kiñeke ka pewü ka;pero a veces tambien en primevera;But sometimes also in Primevera;;;
kake ka üy ni ka;en distintos nombres tambien;In different names too;;;
ka chem üy müli;que otros nombres hay;that other names are;;;
pewü pingi ta otubre;primavera se le llama a octubre;spring is called October;;;
veyta chi noviembre kuru pewü pingi;este pues en noviembre primavera negra se le dice;This because in November black spring is told;;;
kurü pewü;primavera negra;Black spring;;;
kurü pewü;primevera negra;Black Primevera;;;
chumngelu chi pewü pingi;por que se le dice primavera;Why is spring;;;
chew kom ta pewü ki ka;todo brota pues tambien;Everything sprouts then;;;
pewü ki ta kallwe anümka;suelen bratar las plantas;They usually pour plants;;;
pewüki ta lawen;brotan tambien los remedios;Remedies also sprout;;;
pewüki ta kom;brota todo;Everything springs;;;
kom pewüki;todo brota;Everything springs;;;
veymu ta pewü pingeki y;por eso se le llama primavera y;That is why it is called spring and;;;
walün pi ta taiñ mapuche ngen;en el verano decimos nosotros los mapuches;In the summer we say the Mapuches;;;
walüng itrofill akuy;en el verano todo llega;In the summer everything comes;;;
tukun akuki;lo que se siembra llega;What is sown arrives;;;
tukun müleki;lo que hay en la huerta;What is in the garden;;;
ta awar müleki;tambien hay habas;There are also beans;;;
ta allvida akuki ta poñü;llegan la arvejas las papas;The potatoes arrive;;;
müleki ta tukukan;hay huertas;There are orchards;;;
kom küpaki itro vill;llega de todo;It comes from everything;;;
veymu llemay ta walüng;por eso pues es primevera;That is why it is primevera;;;
piki ta che tati chaw;dice esto pues padre;Says this because father;;;
veymu;por eso;so;;;
vey  chumngelu chi ka;y por que sera que;And why it will be that;;;
kuyvi  doy kümeke foro niekevuy che;antes mejor diente tenia la gente;Before the best tooth, people had;;;
pichikeche o pütakeche;los chicos yo los mayores;the boys I the elders;;;
rume llankükelavuy tañi voro;se me caian muchos los dientes;I got many teeth;;;
chumnelu chi veula niewelay voro che;por que sera que ahora no tiene diente la gente;Because it will be that people now have;;;
müna llanküki voro;se le cae mucho los dientes;His teeth drops a lot;;;
chemu iyagelmu kam;con que con la comida;With that with food;;;
no;no;not;;;
chemu chi;como sera;as will be;;;
kümeke voro ngeki che;buenos dientes tiene la gente;good teeth have people;;;
ikefi chi newen ngeluam;come lo que se tiene que tener fuerza para comer;eat what has to have strength to eat;;;
mapu müleki tachi wa;el la tierra hay este maiz;The Earth is this corn;;;
müna kümelkaleki chi wa tati;esta muy bueno el maiz pues;The corn is very good, then;;;
üngül tukuneki ñi fün;se echa a hervir;boil;;;
vey vey ünatuy;ahi ahi lo muerde;There he bites it;;;
vey ka vemngechi inanentuki ñi voro;ahi tambien asi saca su diente;He also gets his tooth so;;;
pütra ke wamu;con los maices grandes;With the big maies;;;
pütrüke tremfuy kay wa;crecian mucho los maices;the maices grew a lot;;;
veley;asi es;that's how it is;;;
unepalu kolü;los primeros que se colocan de colores;The first ones that are placed in colors;;;
kolüweki ñi payun payun wa;se pone rojo so barba la barba de el maiz;The beard of El Maiz gets red be a beard;;;
vey vey;eso eso;That;;;
vey ikefingün;ahi lo comian;There they ate it;;;
cheman tachi wa;que el choclo;than the corn;;;
wa;el choclo;the corn;;;
wa llemay tukungeki ta mapumu;el choclo pues se coloca en la tierra;The corn is placed on earth;;;
iyagel;para comer;To eat;;;
yagel;para comer;To eat;;;
iyagel vey;para comer eso;To eat that;;;
pichi wa ka müday ngeki pu;los choclos pequeños se hacen bebida mapuche pues;The small choclos are made Mapuche drink because;;;
müday;bebida mapuche;Mapuche drink;;;
chefkü ngeki  rüngo;se sirne la harina;Flour is signed;;;
ngeki mürke;se hace la harina;Flour is done;;;
