mapudungun;espanol;ingles
mari mari papay;buenos dias mamita;Good morning mommy
mari mari chaw;buenos dias padre;good morning Dad
chumngechi li tami lof;como esta su comunidad;how is your community
fawpüle chem dungu rume ngelay;por aqui no hay ninguna cosa;There is nothing here
ngelay;no hay;There is not
kom kümeli tami pu ka rukache;todos tus vecinos estan bien;All your neighbors are fine
kom kümeli;todos estan bien;All are fine
kümelingün;estan bien;they are fine
may;si;Yes
ini pingi chi mapu tüva;como se llama este lugar;What's the name of this place
inche mülen lonko waka;yo estoy en lonko vaca;I'm in Lonko Vaca
veypingi;asi se llama;That's what it's called
veypingi tani mapu;asi se llama mi tierra;This is the name of my land
vey chumeluchi veypingi vey;y por que se llama asi;And why is it called that
lonko waka pingeki;cabeza de vaca se llama porque;cow's head is because
rume mülekevuy kullin;habia muchos animales;there were many animals
mülekevuy;habia;there were
veymu vey lonko waka pingi;por eso se llama cabeza de vaca;That's why it's called cow's head
tachi winkul lonko waka pingeki welu;este de arriaba cabeza de vaca pero se le dice;this one of the cow's head but it is told
winkul;arriba;up
winkul lonko waka;arriba cabeza de vaca;Above cow's head
welu inche kimpan;pero yo vine a saber;But I came to know
chew rume mülekevuy kullin;en cualquier parte habia animales;anywhere there were animals
veymu vey lonko waka pingi;por eso se le llama cabeza de vaca;That is why it is called cow's head
ah;ah;ah
veyta  lof  mapu kuyvi ngekelavuy ta;en esta tierra antes no habia;In this land there was no
lawentuchekelu;quien hiciera remedio;who remedy
katripache eymi kimimi;usted sabe;you know
vey ngekelavuy;esto no habia;This was not
kuyfi mew;antiguamente;formerly
posta ngekelavuy mülekevuy;posta no habia yo habia;Posta there was no
kuyvi ta müte ngelay posta;antes no habia muchas postas;Before there were many posts
ngelavuy;no habia;there was not
chumngechi lawentuw;como se hacian remedio;as remedy
kevuychi papay;antes mamita;Before Mamita
chachay rume pichikeche;papito y tambien los ninos chicos;daddy and also children
chumngechi chi mongeluwkevuy;como sera que lo hacian vivir;How would they live it
mapumu ta yemeki lawen ka;en la tierra iban a buscar remedio tambien;On Earth they were going to look for remedy too
mapumu;en la tierra;on earth
winkul mu;en el cerro;on the hill
winkul mew;en el cerro;on the hill
meno komu ka müli lawen;en el menoco tambien hay remedio;In the menoco there is also remedy
vill che lawentuchekevuy;todas la gente se hacia remedio;All people did remedy
kam mülevuy ta lawen tuchelu;o habia gente que hacia remedio;or there were people to remedy
